property_id,lat,lng,addr_street,suburb,Lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
62038,-37.787417,145.253671,5 Berala Court,RINGWOOD,MACEDON RANGES,19878.0,2.5313491469062566,42.0,1.0,1.0,1.0,1.0,0.0
38236,-37.771816,145.022462,32a Separation Street,FAIRFIELD,NILLUMBIK,19930.0,0.9536337551466407,26.0,1.0,4.0,1.0,1.0,1.0
73312,-37.856151,145.273183,23 Duncan Avenue,BORONIA,TOWONG,19869.0,1.0947685177011175,44.0,1.0,0.0,0.0,0.0,0.0
94950,-37.903847,145.051849,17 Wallen Road,ORMOND,MOIRA,19941.0,1.0770287696466967,27.0,1.0,0.0,0.0,-0.0,-0.0
76325,-37.888729,145.079661,6 Fellows Street,HUGHESDALE,BASS COAST,19918.0,0.7076027287111162,24.0,1.0,0.0,0.0,0.0,0.0
33279,-37.734052,144.9961,9 Paywit Street,PRESTON,BOROONDARA,20012.0,0.6452027383092358,35.0,1.0,12.0,3.0,2.0,1.0
13346,-37.693667,144.767291,6/5 Victoria Road,SYDENHAM,HEPBURN,20000.0,1.0286675930089928,34.0,1.0,-1.0,0.0,0.0,0.0
22389,-37.751952,144.948623,25 Donne Street,COBURG,MOONEE VALLEY,19966.0,1.1955034267317781,21.0,1.0,41.0,17.0,12.0,6.0
87811,-37.944703,145.006874,53 Bridge Street,HAMPTON,WYNDHAM,19948.0,0.6584758549521951,not available,0.0,99.0,43.0,33.0,20.0
41911,-37.744949,145.072846,24 Berrima Road,ROSANNA,EAST GIPPSLAND,19936.0,0.6336653203316102,36.0,1.0,1.0,0.0,0.0,0.0
90347,-37.968642,145.084767,239 Centre Dandenong Road,CHELTENHAM,YARRA RANGES,19865.0,2.263858439265815,43.0,1.0,5.0,3.0,2.0,1.0
